occupation,prob_computerization,tot_employed,women,black,asian,hisp_latino
Milling and Planing Machine Setters Operators and Tenders Metal and Plastic,0.97852,6,,,,
Machinists,0.64631,356,3.4,5.4,6.8,13
Multiple Machine Tool Setters Operators and Tenders Metal and Plastic,0.91136,3,,,,
Tool and Die Makers,0.83623,50,3,2.4,0,12.3
Heat Treating Equipment Setters Operators and Tenders Metal and Plastic,0.91275,3,,,,
Layout Workers Metal and Plastic,0.837,7,,,,
Plating and Coating Machine Setters Operators and Tenders Metal and Plastic,0.92298,20,,,,
Tool Grinders Filers and Sharpeners,0.88372,5,,,,
Prepress Technicians and Workers,0.97172,22,,,,
Printing Press Operators,0.831,205,20.3,6.7,4.7,15.9
Print Binding and Finishing Workers,0.95068,14,,,,
Laundry and Dry-Cleaning Workers,0.71184,188,58.1,21.4,7.9,34
Pressers Textile Garment and Related Materials,0.81464,36,,,,
Sewing Machine Operators,0.89206,208,71.5,8,12.1,46.9
Shoe and Leather Workers and Repairers,0.52217,8,,,,
Shoe Machine Operators and Tenders,0.9676,2,,,,
Textile Bleaching and Dyeing Machine Operators and Tenders,0.96874,2,,,,
Textile Cutting Machine Setters Operators and Tenders,0.94605,9,,,,
Textile Knitting and Weaving Machine Setters Operators and Tenders,0.72567,13,,,,
Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders,0.96081,11,,,,
Extruding and Forming Machine Setters Operators and Tenders Synthetic and Glass Fibers,0.88066,0,,,,
Fabric and Apparel Patternmakers,0.0049209,1,,,,
Upholsterers,0.38608,36,,,,
Cabinetmakers and Bench Carpenters,0.92046,56,11.9,6.7,0,15.7
Furniture Finishers,0.87052,19,,,,
Sawing Machine Setters Operators and Tenders Wood,0.86135,35,,,,
Woodworking Machine Setters Operators and Tenders Except Sawing,0.96548,23,,,,
Stationary Engineers and Boiler Operators,0.89205,78,4.7,9.6,5,14.1
Water and Wastewater Treatment Plant and System Operators,0.61379,77,5.2,13.9,2.1,6.8
Extruding Forming Pressing and Compacting Machine Setters Operators and Tenders,0.93376,29,,,,
Furnace Kiln Oven Drier and Kettle Operators and Tenders,0.36717,16,,,,
Inspectors Testers Sorters Samplers and Weighers,0.9759,734,37.9,12.8,7.4,17.7
Jewelers and Precious Stone and Metal Workers,0.95461,40,,,,
Packaging and Filling Machine Operators and Tenders,0.98037,236,50.5,16.1,6.2,43.1
Painting Coating and Decorating Workers,0.92065,173,8.9,8.8,1.8,28.4
Semiconductor Processors,0.87878,2,,,,
Photographic Process Workers and Processing Machine Operators,0.98675,29,,,,
Adhesive Bonding Machine Operators and Tenders,0.95276,11,,,,
Cleaning Washing and Metal Pickling Equipment Operators and Tenders,0.80886,3,,,,
Cooling and Freezing Equipment Operators and Tenders,0.92582,0,,,,
Etchers and Engravers,0.9824,6,,,,
Molders Shapers and Casters Except Metal and Plastic,0.90129,24,,,,
Paper Goods Machine Setters Operators and Tenders,0.66631,33,,,,
Tire Builders,0.94334,10,,,,
Helpers--Production Workers,0.66186,40,,,,
Flight Attendants,0.3516,93,75.8,13.7,6.4,16.1
Ambulance Drivers and Attendants Except Emergency Medical Technicians,0.25245,19,,,,
Taxi Drivers and Chauffeurs,0.89401,500,14.3,28.7,16,12.6
Railroad Brake Signal and Switch Operators,0.82558,2,,,,
Railroad Conductors and Yardmasters,0.82607,55,4.7,21.3,4.3,6
Sailors and Marine Oilers,0.82872,16,,,,
Ship Engineers,0.041416,4,,,,
Bridge and Lock Tenders,0.96516,2,,,,
Parking Lot Attendants,0.87412,89,10.7,24.3,7.3,28.5
Automotive and Watercraft Service Attendants,0.83103,97,8.6,9.9,6.4,18.1
Transportation Inspectors,0.89926,26,,,,
Transportation Attendants Except Flight Attendants,0.75182,41,,,,
Conveyor Operators and Tenders,0.92718,3,,,,
Crane and Tower Operators,0.89775,63,0.8,13,0.5,13.7
Hoist and Winch Operators,0.65101,9,,,,
Industrial Truck and Tractor Operators,0.93482,605,9.6,26,2.3,28
Cleaners of Vehicles and Equipment,0.36756,328,13,18,2.5,29.4
Laborers and Freight Stock and Material Movers Hand,0.84513,1900,18.1,19.9,3.2,23.4
Machine Feeders and Offbearers,0.93058,30,,,,
Packers and Packagers Hand,0.37889,550,54.5,18.9,7.1,43.6
Refuse and Recyclable Material Collectors,0.93384,101,8.6,16.4,0.5,23.5
Mine Shuttle Car Operators,0.37495,0,,,,
Tank Car Truck and Ship Loaders,0.7206,4,,,,
