"","occupation","prob_computerization","tot_employed","women","black","asian","hisp_latino"
"282","Telecommunications Line Installers and Repairers",0.49034,171,"2.5","16.1","5.2","20.9"
"283","Maintenance and Repair Workers General",0.63563,552,"3.0","10.6","2.2","19.8"
"284","Coin Vending and Amusement Machine Servicers and Repairers",0.94055,38,"Ð","Ð","Ð","Ð"
"285","Commercial Divers",0.17905,1,"Ð","Ð","Ð","Ð"
"286","Locksmiths and Safe Repairers",0.76534,30,"Ð","Ð","Ð","Ð"
"287","Manufactured Building and Mobile Home Installers",0.17921,10,"Ð","Ð","Ð","Ð"
"288","Riggers",0.89082,13,"Ð","Ð","Ð","Ð"
"289","Signal and Track Switch Repairers",0.90488,7,"Ð","Ð","Ð","Ð"
"290","Helpers--Installation Maintenance and Repair Workers",0.79127,19,"Ð","Ð","Ð","Ð"
"291","First-Line Supervisors of Production and Operating Workers",0.015511,763,"18.7","9.7","3.9","15.0"
"292","Aircraft Structure Surfaces Rigging and Systems Assemblers",0.79374,5,"Ð","Ð","Ð","Ð"
"293","Engine and Other Machine Assemblers",0.81514,9,"Ð","Ð","Ð","Ð"
"294","Structural Metal Fabricators and Fitters",0.40787,22,"Ð","Ð","Ð","Ð"
"295","Bakers",0.88775,224,"64.8","13.9","7.2","27.3"
"296","Food and Tobacco Roasting Baking and Drying Machine Operators and Tenders",0.90887,24,"Ð","Ð","Ð","Ð"
"297","Food Batchmakers",0.70043,107,"58.7","14.2","3.1","30.6"
"298","Food Cooking Machine Operators and Tenders",0.61408,10,"Ð","Ð","Ð","Ð"
"299","Extruding and Drawing Machine Setters Operators and Tenders Metal and Plastic",0.91495,13,"Ð","Ð","Ð","Ð"
"300","Forging Machine Setters Operators and Tenders Metal and Plastic",0.93482,5,"Ð","Ð","Ð","Ð"
"301","Rolling Machine Setters Operators and Tenders Metal and Plastic",0.83454,13,"Ð","Ð","Ð","Ð"
"302","Cutting Punching and Press Machine Setters Operators and Tenders Metal and Plastic",0.77586,83,"18.3","5.8","0.6","22.3"
"303","Grinding Lapping Polishing and Buffing Machine Tool Setters Operators and Tenders Metal and Plastic",0.95397,48,"Ð","Ð","Ð","Ð"
"304","Lathe and Turning Machine Tool Setters Operators and Tenders Metal and Plastic",0.83729,14,"Ð","Ð","Ð","Ð"
"305","Milling and Planing Machine Setters Operators and Tenders Metal and Plastic",0.97852,6,"Ð","Ð","Ð","Ð"
"306","Machinists",0.64631,356,"3.4","5.4","6.8","13.0"
"307","Multiple Machine Tool Setters Operators and Tenders Metal and Plastic",0.91136,3,"Ð","Ð","Ð","Ð"
"308","Tool and Die Makers",0.83623,50,"3.0","2.4","0.0","12.3"
"309","Heat Treating Equipment Setters Operators and Tenders Metal and Plastic",0.91275,3,"Ð","Ð","Ð","Ð"
"310","Layout Workers Metal and Plastic",0.837,7,"Ð","Ð","Ð","Ð"
"311","Plating and Coating Machine Setters Operators and Tenders Metal and Plastic",0.92298,20,"Ð","Ð","Ð","Ð"
"312","Tool Grinders Filers and Sharpeners",0.88372,5,"Ð","Ð","Ð","Ð"
"313","Prepress Technicians and Workers",0.97172,22,"Ð","Ð","Ð","Ð"
"314","Printing Press Operators",0.831,205,"20.3","6.7","4.7","15.9"
"315","Print Binding and Finishing Workers",0.95068,14,"Ð","Ð","Ð","Ð"
"316","Laundry and Dry-Cleaning Workers",0.71184,188,"58.1","21.4","7.9","34.0"
"317","Pressers Textile Garment and Related Materials",0.81464,36,"Ð","Ð","Ð","Ð"
"318","Sewing Machine Operators",0.89206,208,"71.5","8.0","12.1","46.9"
"319","Shoe and Leather Workers and Repairers",0.52217,8,"Ð","Ð","Ð","Ð"
"320","Shoe Machine Operators and Tenders",0.9676,2,"Ð","Ð","Ð","Ð"
"321","Textile Bleaching and Dyeing Machine Operators and Tenders",0.96874,2,"Ð","Ð","Ð","Ð"
"322","Textile Cutting Machine Setters Operators and Tenders",0.94605,9,"Ð","Ð","Ð","Ð"
"323","Textile Knitting and Weaving Machine Setters Operators and Tenders",0.72567,13,"Ð","Ð","Ð","Ð"
"324","Textile Winding Twisting and Drawing Out Machine Setters Operators and Tenders",0.96081,11,"Ð","Ð","Ð","Ð"
