occupation,tot_employed,women,black,asian,hisp_latino
"Roof bolters, mining",4,Ð,Ð,Ð,Ð
"Roustabouts, oil and gas",6,Ð,Ð,Ð,Ð
Helpers--extraction workers,4,Ð,Ð,Ð,Ð
Other extraction workers,32,Ð,Ð,Ð,Ð
"Installation, maintenance, and repair occupations","4,879",3.6,8.8,3.2,19.0
"First-line supervisors of mechanics, installers, and repairers",264,10.1,10.2,2.0,10.4
"Computer, automated teller, and office machine repairers",212,9.6,13.0,10.0,12.0
Radio and telecommunications equipment installers and repairers,143,16.1,16.3,5.3,15.8
Avionics technicians,7,Ð,Ð,Ð,Ð
"Electric motor, power tool, and related repairers",25,Ð,Ð,Ð,Ð
"Electrical and electronics installers and repairers, transportation equipment",2,Ð,Ð,Ð,Ð
"Electrical and electronics repairers, industrial and utility",13,Ð,Ð,Ð,Ð
"Electronic equipment installers and repairers, motor vehicles",10,Ð,Ð,Ð,Ð
Electronic home entertainment equipment installers and repairers,44,Ð,Ð,Ð,Ð
Security and fire alarm systems installers,79,1.8,5.6,4.2,24.2
Aircraft mechanics and service technicians,140,1.7,3.3,6.0,18.5
Automotive body and related repairers,147,3.6,5.2,3.0,24.1
Automotive glass installers and repairers,22,Ð,Ð,Ð,Ð
Automotive service technicians and mechanics,879,1.7,9.6,4.3,23.3
Bus and truck mechanics and diesel engine specialists,342,0.8,7.0,1.9,16.1
Heavy vehicle and mobile equipment service technicians and mechanics,203,0.5,3.8,1.9,16.9
Small engine mechanics,51,3.5,11.0,0.0,6.6
"Miscellaneous vehicle and mobile equipment mechanics, installers, and   repairers",87,1.7,10.8,2.0,31.6
Control and valve installers and repairers,33,Ð,Ð,Ð,Ð
"Heating, air conditioning, and refrigeration mechanics and installers",427,1.4,7.0,1.3,21.9
Home appliance repairers,49,Ð,Ð,Ð,Ð
Industrial and refractory machinery mechanics,393,3.3,8.5,1.9,15.0
"Maintenance and repair workers, general",552,3.0,10.6,2.2,19.8
"Maintenance workers, machinery",21,Ð,Ð,Ð,Ð
Millwrights,40,Ð,Ð,Ð,Ð
Electrical power-line installers and repairers,136,0.6,7.7,0.9,10.5
Telecommunications line installers and repairers,171,2.5,16.1,5.2,20.9
Precision instrument and equipment repairers,66,14.9,4.5,3.9,13.9
Wind turbine service technicians,5,Ð,Ð,Ð,Ð
"Coin, vending, and amusement machine servicers and repairers",38,Ð,Ð,Ð,Ð
Commercial divers,1,Ð,Ð,Ð,Ð
Locksmiths and safe repairers,30,Ð,Ð,Ð,Ð
Manufactured building and mobile home installers,10,Ð,Ð,Ð,Ð
Riggers,13,Ð,Ð,Ð,Ð
Signal and track switch repairers,7,Ð,Ð,Ð,Ð
"Helpers--installation, maintenance, and repair workers",19,Ð,Ð,Ð,Ð
"Other installation, maintenance, and repair workers",198,6.1,5.8,3.9,22.9
,,,,,
"Production, transportation, and material moving occupations","17,743",22.1,15.8,4.8,22.2
Production occupations,"8,459",28.2,12.9,5.9,22.3
First-line supervisors of production and operating workers,763,18.7,9.7,3.9,15.0
"Aircraft structure, surfaces, rigging, and systems assemblers",5,Ð,Ð,Ð,Ð
"Electrical, electronics, and electromechanical assemblers",117,49.3,14.1,16.9,22.5
Engine and other machine assemblers,9,Ð,Ð,Ð,Ð
Structural metal fabricators and fitters,22,Ð,Ð,Ð,Ð
Miscellaneous assemblers and fabricators,"1,082",34.4,17.8,7.2,19.6
Bakers,224,64.8,13.9,7.2,27.3
"Butchers and other meat, poultry, and fish processing workers",277,26.9,19.8,9.9,34.6
"Food and tobacco roasting, baking, and drying machine operators and tenders",24,Ð,Ð,Ð,Ð
Food batchmakers,107,58.7,14.2,3.1,30.6
